,Unnamed: 0,t,x0,x1,u,L,inst_cost,ctg,path_diff
0,0.0,0.0,0.0,-1.0,-1.4307273507136316,0.0,0.1055921011,7.829785545,-2.5
1,1.0,0.1,-0.1020836208,-1.0409891142,1.6434681042831727,0.1055921011,0.0872227747999999,7.7241934439,-1.8209891142000003
2,2.0,0.2,-0.1931967277,-0.7855291969,-6.459995927787979,0.1928148759,0.141596994,7.6369706691,-1.0055291969
3,3.0,0.3,-0.2991994091,-1.3255261083,-17.697048955754635,0.3344118699,0.6409432949,7.4953736751,-1.1455261083
4,4.0,0.4,-0.5109479091,-2.8834825039,-7.489526874361147,0.9753551648,1.0392648665,6.8544303802,-2.4634825039
5,5.0,0.5,-0.8215776683,-3.3218054321,-10.26211460244648,2.0146200313,1.4949637397000002,5.8151655137,-2.8218054321
6,6.0,0.6,-1.1873306821,-3.9822638786,11.96819685645103,3.509583771,1.3076138088000002,4.320201774,-3.5622638786
7,7.0,0.7,-1.5083980622,-2.4643768129,11.944926577671218,4.8171975798,0.6582392385000002,3.0125879652,-2.2843768129
8,8.0,0.8,-1.6851319236,-1.0931502937,-14.13527700448828,5.4754368183,0.7203266458999993,2.3543487267,-1.3131502937
9,9.0,0.9,-1.8575372348,-2.334272683,-19.84401410851506,6.1957634642,1.6340220808000003,1.6340220808000003,-3.1142726830000003
10,0.0,0.0,0.0,-1.0,-14.649571107773976,0.0,0.3977718592,3.0230578177,-2.5
11,1.0,0.1,-0.1660286825,-2.2989284283,12.35460238731318,0.3977718592,0.352182156,2.6252859585,-3.0789284283
12,2.0,0.2,-0.3250363332,-0.9044605389,-3.806726539561499,0.7499540152,0.1312049945,2.2731038025,-1.1244605389
13,3.0,0.3,-0.4295218919,-1.1806476341,-15.124409305570108,0.8811590097,0.499632983,2.141898808,-1.0006476341
14,4.0,0.4,-0.6150384595,-2.507571997,11.989418957783684,1.3807919927,0.4656595191999999,1.6422658249999995,-2.087571997
15,5.0,0.5,-0.7956676805,-1.1280008803,-0.4382315261612,1.8464515119,0.1924669603000002,1.1766063057999998,-0.6280008802999999
